SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
0.052,0.025,0.015
0.050,0.028,0.012
0.044,0.027,0.003
0.035,0.027,-0.007
0.018,0.026,-0.015
-0.004,0.020,-0.019
-0.025,0.011,-0.017
-0.038,0.006,-0.010
-0.043,0.009,0.002
-0.044,0.016,0.013
-0.042,0.017,0.021
-0.033,0.009,0.023
-0.013,-0.003,0.025
0.011,-0.013,0.028
0.032,-0.021,0.026
0.040,-0.032,0.016
0.037,-0.046,-0.001
0.031,-0.060,-0.019
0.025,-0.070,-0.030
0.021,-0.073,-0.033
0.015,-0.068,-0.029
0.011,-0.052,-0.018
0.012,-0.021,0.002
0.019,0.019,0.031
0.024,0.053,0.062
0.018,0.069,0.079
-0.001,0.065,0.076
-0.031,0.051,0.059
-0.058,0.040,0.037
-0.073,0.039,0.020
-0.075,0.042,0.010
-0.067,0.040,0.002
-0.053,0.031,-0.005
-0.034,0.019,-0.012
-0.009,0.010,-0.015
0.016,0.002,-0.013
0.034,-0.008,-0.012
0.037,-0.023,-0.016
0.028,-0.038,-0.024
0.017,-0.042,-0.030
0.009,-0.031,-0.027
0.001,-0.017,-0.014
-0.008,-0.012,0.001
-0.019,-0.020,0.015
-0.026,-0.034,0.022
-0.027,-0.047,0.021
-0.020,-0.054,0.011
-0.009,-0.058,-0.002
0.004,-0.060,-0.015
0.021,-0.056,-0.025
0.040,-0.043,-0.030
0.058,-0.022,-0.032
0.073,0.000,-0.027
0.078,0.024,-0.014
0.073,0.049,0.003
0.060,0.073,0.017
0.042,0.087,0.023
0.019,0.087,0.022
-0.008,0.072,0.023
-0.039,0.049,0.030
-0.065,0.028,0.038
-0.079,0.010,0.035
-0.078,-0.004,0.018
-0.064,-0.016,-0.005
-0.043,-0.022,-0.022
-0.018,-0.023,-0.026
0.005,-0.019,-0.021
0.020,-0.019,-0.018
0.017,-0.025,-0.020
-0.006,-0.033,-0.027
-0.037,-0.034,-0.032
-0.054,-0.026,-0.032
