SITE CODE= 4B9ëÂçËéså√êÏéOì˙í¨          ,38.1033,142.8600, 24,9.0,40613.6154873, 26.93, 46.56
 LAT.=   38.5741
 LON.=  140.9561
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.107,-0.018,0.009
0.087,-0.005,-0.002
0.023,-0.004,-0.002
-0.119,-0.001,-0.002
-0.094,0.010,-0.004
-0.012,-0.002,0.001
-0.083,-0.006,-0.001
-0.109,-0.006,-0.002
-0.003,-0.007,0.003
0.024,0.011,0.003
0.014,0.007,0.009
0.040,-0.009,0.006
0.022,0.005,0.002
-0.051,0.012,0.006
-0.093,-0.001,0.008
-0.032,-0.004,0.015
-0.036,-0.007,0.003
-0.097,-0.001,-0.005
0.015,0.005,-0.007
0.048,0.003,-0.018
-0.107,0.013,-0.011
-0.105,-0.001,-0.012
0.011,-0.017,-0.020
0.031,-0.029,-0.024
0.067,-0.032,-0.027
0.096,-0.011,-0.020
-0.018,-0.016,-0.015
-0.041,-0.009,-0.003
0.060,0.016,-0.004
0.035,0.010,-0.011
-0.024,0.000,-0.004
-0.005,-0.007,-0.008
0.000,-0.005,0.000
-0.036,-0.005,0.014
-0.017,-0.008,0.011
-0.047,0.002,0.015
-0.091,0.010,0.025
-0.100,0.001,0.030
-0.149,-0.019,0.028
-0.066,-0.025,0.024
-0.104,-0.021,0.011
-0.134,-0.019,-0.003
0.024,-0.009,-0.011
0.020,0.002,-0.025
-0.014,0.013,-0.026
0.016,0.009,-0.027
0.067,0.002,-0.032
0.107,-0.002,-0.028
0.101,-0.007,-0.025
0.082,0.002,-0.017
0.037,-0.006,-0.015
0.043,0.004,-0.010
0.111,0.026,0.005
0.129,0.005,0.007
0.150,-0.009,0.010
0.127,-0.011,0.011
0.021,-0.016,0.010
0.046,-0.018,0.011
0.109,-0.025,0.002
0.109,-0.020,0.002
0.098,-0.013,0.005
0.121,0.003,0.000
0.079,0.013,-0.007
-0.007,0.018,-0.009
0.058,0.043,0.000
0.059,0.029,0.002
0.022,0.002,0.006
-0.005,0.001,0.007
-0.022,-0.016,0.001
0.023,-0.017,0.001
0.039,-0.005,-0.001
0.073,0.002,-0.003
0.066,0.008,0.000
0.113,-0.002,0.000
0.089,-0.005,0.005
0.010,-0.013,0.013
0.008,-0.015,0.007
-0.056,-0.010,-0.010
-0.089,-0.010,-0.018
-0.112,-0.007,-0.014
0.000,-0.011,-0.007
0.009,-0.013,-0.002
-0.019,-0.010,0.000
0.127,0.000,-0.007
-0.024,0.001,-0.018
-0.001,-0.007,-0.020
0.122,-0.002,-0.018
-0.040,-0.003,-0.004
0.020,-0.007,0.001
0.007,0.000,-0.007
-0.048,0.006,-0.004
-0.025,0.013,0.000
-0.118,0.013,0.009
-0.044,0.009,0.015
-0.111,0.005,0.003
-0.179,0.002,0.004
-0.086,-0.007,-0.005
-0.111,-0.011,-0.017
-0.069,-0.007,-0.002
-0.068,-0.012,0.002
-0.088,-0.002,0.004
-0.071,-0.010,-0.001
-0.062,-0.009,-0.004
-0.043,0.006,0.000
-0.047,-0.011,-0.008
0.063,-0.016,0.000
0.061,-0.018,0.007
0.005,-0.002,-0.001
0.125,0.009,0.004
0.008,-0.005,0.009
-0.013,0.003,0.013
0.173,-0.010,0.014
-0.034,-0.021,0.001
-0.040,-0.015,-0.011
0.067,-0.022,-0.021
-0.075,-0.017,-0.019
0.044,-0.012,-0.006
-0.017,-0.001,0.000
-0.063,0.026,-0.003
0.082,0.042,-0.013
-0.025,0.042,-0.025
-0.003,0.017,-0.030
0.026,-0.009,-0.016
0.057,-0.003,0.004
-0.011,-0.001,0.012
-0.169,0.004,0.016
0.069,0.032,0.014
0.035,0.037,0.005
-0.147,0.009,0.001
0.011,-0.015,-0.003
-0.021,-0.025,-0.012
-0.045,-0.026,-0.010
0.028,-0.017,0.001
-0.095,-0.007,0.010
-0.075,0.002,0.007
0.041,0.000,-0.007
-0.031,-0.011,-0.018
-0.002,-0.027,-0.030
0.069,-0.045,-0.023
-0.034,-0.035,-0.010
0.019,-0.021,0.004
0.091,-0.018,0.020
0.016,0.007,0.013
0.054,0.036,0.001
0.029,0.016,-0.001
0.061,-0.015,0.002
0.139,-0.021,0.007
0.004,-0.031,0.014
0.007,-0.016,0.014
0.125,0.021,0.008
0.137,0.037,-0.003
0.071,0.032,-0.014
0.032,0.010,-0.019
0.055,-0.018,-0.023
0.004,-0.031,-0.016
0.022,-0.018,-0.008
0.072,-0.001,-0.003
0.043,0.003,0.008
0.084,0.019,0.010
0.049,0.034,0.001
0.026,0.012,-0.007
0.087,-0.007,-0.007
0.063,-0.006,-0.007
0.055,-0.020,-0.004
0.039,-0.025,0.007
0.023,-0.005,0.012
0.016,0.007,0.011
-0.039,0.005,0.006
-0.075,0.006,0.001
-0.084,0.006,-0.003
-0.128,0.002,-0.011
-0.128,0.008,-0.022
-0.008,0.007,-0.022
-0.033,-0.011,-0.008
-0.074,-0.007,0.000
-0.049,0.019,0.001
-0.147,0.015,0.000
-0.051,-0.007,-0.002
-0.019,0.003,-0.014
-0.165,-0.005,-0.025
-0.091,-0.023,-0.011
-0.004,-0.007,0.003
-0.020,-0.005,-0.005
-0.076,-0.002,-0.007
-0.074,0.009,-0.006
-0.043,-0.007,-0.008
-0.030,-0.021,-0.001
0.025,-0.017,-0.002
0.038,-0.005,-0.004
0.028,-0.025,0.002
-0.122,-0.017,0.006
-0.119,0.024,0.004
-0.021,0.009,0.004
-0.105,-0.010,0.014
0.023,-0.009,0.010
-0.032,-0.011,0.013
-0.070,-0.007,0.012
0.077,0.017,-0.004
-0.059,0.026,-0.007
-0.031,0.002,-0.005
-0.004,0.010,0.009
-0.018,-0.006,0.014
0.050,-0.023,0.007
-0.061,0.011,0.000
-0.063,0.006,-0.019
-0.019,-0.014,-0.015
-0.034,-0.009,-0.011
0.007,-0.007,-0.022
-0.020,-0.013,-0.018
-0.148,-0.006,-0.016
-0.177,0.009,-0.018
-0.048,-0.002,-0.007
-0.021,0.004,0.001
-0.075,0.023,-0.001
-0.098,-0.007,-0.007
-0.123,-0.013,0.001
-0.030,0.009,0.004
-0.059,-0.003,0.000
-0.131,-0.006,0.003
0.099,0.006,-0.008
0.119,-0.014,-0.011
-0.102,-0.032,-0.003
-0.044,-0.015,-0.011
0.041,-0.009,-0.013
-0.033,0.005,0.000
-0.029,0.032,-0.002
-0.039,0.021,-0.010
-0.108,0.002,-0.003
-0.104,0.002,0.000
-0.068,-0.014,0.004
-0.050,-0.032,0.013
-0.045,-0.016,0.015
-0.005,0.006,0.010
0.000,-0.002,0.008
0.040,-0.009,0.006
0.118,-0.015,-0.004
0.082,-0.039,-0.003
0.053,-0.042,-0.004
-0.013,-0.022,-0.019
-0.059,-0.014,-0.021
0.040,-0.005,-0.020
0.042,0.010,-0.022
